"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\role_and_permissions\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 22, 67
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\ActionUserController.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 28, 17, 92
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\ApprovedStatusController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 28, 10, 67
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 20, 7, 40
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\Auth\LoginController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\Auth\RegisterController.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 32, 9, 73
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\Auth\VerificationController.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 20, 7, 42
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\BlogCategoryController.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 2, 29, 118
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\BlogController.php", "PHP", 199, 0, 0, 0, 0, 0, 0, 9, 49, 257
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\BlogSite.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 26, 27, 163
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\CityController.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 10, 69
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\CountryController.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 3, 9, 71
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\DepartmentController.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 22, 17, 105
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\DesignationController.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 23, 11, 106
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\DomainController.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 22, 19, 124
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\FileManagerControllerController.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 27, 10, 67
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\HomeController.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 7, 36
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\LanguageController.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 23, 14, 107
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\MenuController.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 2, 30, 146
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\ModuleController.php", "PHP", 227, 0, 0, 0, 0, 0, 0, 16, 63, 306
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\NewsCategoryController.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 2, 28, 113
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\NewsController.php", "PHP", 190, 0, 0, 0, 0, 0, 0, 8, 59, 257
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\PagesController.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 3, 37, 138
"c:\wamp64\www\role_and_permissions\app\Http\Controllers\ProductController.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 46, 16, 122
